n,t,edge,size,0.003044348733032908*e*v^2,e*v^2 squared_error,25187.506159262994*sqrt(n),sqrt(n) squared_error,50178.807159225864*log(n),log(n) squared_error,2016.0000000000005*n,n squared_error,3.631987493337511*vlog(e),vlog(e) squared_error,0.23808633993376835*n^3,n^3 squared_error,20.94153415088367*n^2,n^2 squared_error
22,0.1891164779663086,415.0,44352.0,611.4878865169899,1913232399.949754,118139.87584005685,5444650620.987645,223768.9592313554,32190445259.825848,44352.00000000001,5.293955920339377e-23,6721.588944508075,1416047836.205289,2535.143,1748649529.3584492,10135.703,1170754980.3922088
23,0.2328202724456787,455.0,46368.0,732.7595182973557,2082575173.822832,120795.03603222674,5539383692.542377,226986.9430657954,32623202594.205044,46368.00000000001,5.293955920339377e-23,7475.43180463008,1512631860.8315,2896.796,1889745577.2096157,11078.072,1245379018.245184
25,0.3307745456695557,543.0,50400.0,1033.1758512730432,2437083326.531331,125937.53079631497,5705918558.804233,233023.1642218833,33351220110.412952,50400.000000000015,2.117582368135751e-22,9158.470187951043,1700863781.2381232,3720.099,2179013157.369801,13088.459,1392151091.7946808
27,0.4461290836334229,645.0,54432.0,1431.4679960157384,2809056392.70536,130878.12115139262,5844009439.093399,238594.58303487382,33915856990.076797,54432.000000000015,2.117582368135751e-22,11138.951301354538,1874288065.6232877,4686.253,2474639344.5880094,15266.378,1533945946.6468842
29,0.5904545783996582,724.0,58464.0,1853.655233964009,3204731134.529458,135638.87174834663,5955960829.373751,243767.69153769058,34337458097.49558,58464.000000000015,2.117582368135751e-22,12774.347381234453,2087544356.4234695,5806.688,2772792507.065344,17611.83,1668899793.7089
31,0.7700965404510498,828.0,62496.0,2422.4126416641493,3608835898.0996084,140238.09918210618,6043833985.240434,248595.66128785128,34633083931.45297,62496.000000000015,2.117582368135751e-22,14898.683444179367,2265504543.3149967,7092.83,3069511246.0488997,20124.814,1795317403.046596
33,0.9962308406829834,947.0,66528.0,3139.5850944483764,4018091144.2383595,144691.2070419487,6109486935.0825405,253121.6797504208,34817201322.8026,66528.00000000001,2.117582368135751e-22,17350.154006267505,2418460536.583271,8556.109,3360740146.1158814,22805.331,1911671784.483561
35,1.3006367683410645,1077.0,70560.0,4016.4853922086413,4428039336.357341,149011.29597551285,6154605840.237519,257381.30337237372,34902199393.752495,70560.00000000001,2.117582368135751e-22,20063.962633417224,2549849789.7273245,10207.952,3642369697.7943044,25653.379,2016604609.637641
38,1.8119292259216309,1252.0,76608.0,5503.841542265398,5055801349.982632,155266.21566802813,6187114892.078027,263334.74268268136,34866876432.8843,76608.00000000001,2.117582368135751e-22,23863.62968265069,2781968600.1736794,13064.274,4037805113.963076,30239.575,2150030836.980625
41,2.484172105789185,1497.0,82656.0,7660.972679681792,5624254122.775275,161278.73116886604,6181533856.451779,268835.5688852548,34662831870.29933,82656.00000000001,2.117582368135751e-22,29129.46712789025,2865089721.3090453,16409.149,4388645267.416201,35202.719,2251813877.6649613
