n,t,edge,size,0.003237586405879867*e*v^2,e*v^2 squared_error,24105.073117631648*sqrt(n),sqrt(n) squared_error,23.573439495553163*(V+E),(V+E) squared_error,1968.7410319785483*n,n squared_error,0.043420659976820965*v(elog(v)),v(elog(v)) squared_error,0.24781794145676847*n^3,n^3 squared_error,21.193784333820236*n^2,n^2 squared_error
35,0.03522181510925293,1077.0,37100.0,4271.428684937455,1077715094.5881474,142607.53574135862,11131840098.214066,26213.66471905512,118512295.84914525,68905.93611924919,1011617572.4217603,8395.311804128578,823959124.4222002,10625.194,700915352.737636,25962.386,124046445.61299603
38,0.04193568229675293,1252.0,42096.0,5853.193612153341,1313541014.8669384,148593.65026891956,11341749512.801104,30409.73694926358,136568744.0910073,74812.15921518483,1070347073.7933233,10841.070621038241,976870610.4838868,13598.266,812120843.134756,30603.825,132070086.23062499
41,0.055301427841186516,1497.0,47392.0,8147.246974181232,1540150640.0575113,154347.7779245982,11439538431.455967,36255.94994416076,124011610.84615709,80718.38231112048,1110647757.9469643,14278.036001290648,1096534611.7078192,17079.86,918825831.3795999,35626.751,138421084.03200108
44,0.057263612747192376,1697.0,52972.0,10636.740477186468,1792274198.8639739,159894.9661505333,11432520690.428087,41041.35816175806,142340214.6724091,86624.60540705612,1132497850.683023,17700.20799330544,1244099311.3635223,21110.124,1015179142.2393761,41031.166,142583516.61555606
47,0.06750679016113281,1952.0,58840.0,13960.368979388997,2014181280.5461898,165256.05541189495,11324376849.427496,47123.30555161077,137280928.796915,92530.82850299178,1135071925.218003,22127.17699131266,1347831373.2672024,25729.202,1096324944.1968036,46817.07,144550845.7849
51,0.0851585865020752,2326.0,67116.0,19587.15817417916,2258990805.3038964,172144.65443435867,11031018252.29193,56034.06568092987,122809268.2521844,100405.79263090597,1108210293.4087214,29217.637421045358,1436285886.1659095,32873.298,1172562640.260804,55125.033,143783289.59508893
55,0.10457968711853027,2656.0,75900.0,26012.064219401203,2488806136.4491496,178768.00678631017,10581826820.188356,63907.59447244462,143817790.33734074,108280.75675882016,1048513408.2738777,36670.52876774419,1538951413.1623864,41230.71,1201959669.1041,64111.198,138975852.5952041
59,0.12210488319396973,3053.0,85196.0,34407.426865383444,2579479161.0502944,185154.5798795582,9991717691.53802,73360.54371016145,140078025.58867887,116155.72088673436,958504317.3844956,46009.52323698159,1535579961.0985816,50896.601,1176448771.761201,73775.563,130426381.27096912
64,0.1493244171142578,3605.0,97536.0,47806.459876134584,2473027160.9311404,192840.58494105318,9082963910.78642,86490.94950918456,121993140.34466238,125999.4260466271,810166622.3118097,60108.088019112794,1400848595.2490401,64963.986,1060936096.0161961,86809.741,115052632.13508111
69,0.1821727752685547,4209.0,110672.0,64878.15262916054,2097076457.02374,200231.77557630403,8020953401.277945,100847.17416197644,96527202.74749543,135843.13120651984,633585846.2158371,77030.15181016986,1131773949.6275775,81410.424,856239830.0037761,100903.607,95421501.80244893
75,0.2440221309661865,5006.0,127492.0,91166.3862065697,1319550217.4694533,208756.05679950368,6603846927.51296,119776.64607690563,59526686.15860771,147655.57739839112,406569853.5009092,101543.98864477109,673299293.2910885,104548.194,526418233.76563585,119215.037,68508116.50336906
81,0.2810208797454834,5830.0,145476.0,123839.7197043406,468128625.032339,216945.65805868484,5107912023.025335,139342.60085821475,37618585.03245207,159468.02359026243,195776724.15046024,129995.69695222414,239639782.45097852,131700.615,189761231.89822525,139052.419,41262392.86356107
88,0.36136460304260254,6868.0,167896.0,172193.59716515418,18469341.393941216,226125.62968527115,3390689773.2838116,163976.8451310678,15359774.886675034,173249.21081411224,28656866.02032828,169513.2630586906,2615539.801005233,168880.988,970201.3601440239,164124.666,14222960.139556019
MSE,,,,,906777450.8871294,,8745789954.048975,,83612655.24406736,,669640142.1438891,,611411117.5231677,,502457841.6196694,,85269386.63680418
