n,t,edge,size,1.0286945480361e-06*e*v^2,e*v^2 squared_error,6.064300586221239*sqrt(n),sqrt(n) squared_error,11.297912122970255*log(n),log(n) squared_error,0.517702080203522*n,n squared_error,0.0010708392755710517*vlog(e),vlog(e) squared_error,7.50085491072076e-05*n^3,n^3 squared_error,0.006027283809860438*n^2,n^2 squared_error
12,0.015273332595825197,120.0,24192.0,0.01777584179006381,6.262552267248792e-06,21.007353455409824,440.6674278826426,40.50259129729131,1639.2229159743538,6.212424962442265,38.404688323308385,0.4606702376665955,0.19837840304662077,0.13,0.013162208213668147,0.868,0.7271427693022301
13,0.02040863037109375,138.0,26208.0,0.023991214249297926,1.2834907244368477e-05,21.865146713447004,477.192581918187,41.80724275190688,1746.1395059007473,6.730127042645787,45.02032117201803,0.5468355138154605,0.27712526361294887,0.165,0.020906664171162995,1.019,0.9971847234973347
14,0.02924323081970215,168.0,28224.0,0.0338728540777327,2.1433411511297446e-05,22.69053508405224,513.5341484573834,43.015161330365075,1847.7891548608225,7.247829122849309,52.10798228060887,0.6849469513451113,0.42994736911086384,0.206,0.031242955451057087,1.181,1.326543655352638
15,0.03917121887207031,191.0,30240.0,0.0442081482018514,2.537065707320895e-05,23.486935176830734,549.7976346281454,44.13970662324396,1944.8572229522586,7.765531203052831,59.69663860514972,0.7990775119711251,0.5774575742915465,0.253,0.04572274763865606,1.356,1.7340380388068692
16,0.05054903030395508,213.0,32256.0,0.05609265631531246,3.073178935379817e-05,24.257202344884956,585.9620646923154,45.19164849188102,2037.7188605999931,8.283233283256353,67.77709000881038,0.9123550627865361,0.7427096376233675,0.307,0.06576709985804174,1.543,2.2274098969466647
17,0.06351351737976074,237.0,34272.0,0.0704583756786366,4.823105679146481e-05,25.003751862485267,622.015488710671,46.179795986352644,2126.7115087580955,8.800935363459875,76.34254051635803,1.0373527322400011,0.9483628163996094,0.369,0.09332199106368574,1.742,2.817316872338863
18,0.09074044227600098,287.0,36288.0,0.09565624863278087,2.4165152137357596e-05,25.72864840602356,657.3023247575904,47.111446225671855,2210.946772368676,9.318637443663397,85.15408306821449,1.2815466872385395,1.4180195130417812,0.437,0.11989568131521941,1.953,3.4680106603343845
19,0.10318112373352052,308.0,38304.0,0.11437848940703789,0.00012538099802646504,26.43367341859285,693.2948244896465,47.99271175163317,2293.407143760539,9.836339523866918,94.73437244208732,1.4010450673216746,1.684450816066195,0.514,0.168772149096853,2.176,4.296578093806631
20,0.1273021697998047,342.0,40320.0,0.1407254141713385,0.00018018348945791397,27.12037669356503,728.6260722455434,48.82876381783367,2371.832366654913,10.35404160407044,104.58619945646608,1.5828068997681808,2.1184940189603156,0.6,0.22344323867597266,2.411,5.215275779661081
21,0.16080141067504886,379.0,42336.0,0.1719349780642057,0.00012395632280889703,27.790116473323902,763.3790508311148,49.62401625874563,2446.60962310639,10.871743684273962,114.72428438836826,1.78261361668579,2.6302748315654267,0.695,0.28536813283676776,2.658,6.236000794526526
22,0.1891164779663086,415.0,44352.0,0.20662358691853105,0.00030649886386498784,28.44409104191856,798.3435876095888,50.38226654575919,2519.3523137279763,11.389445764477484,125.44737612627993,1.9817638274434854,3.2135845195875476,0.799,0.3719579104482202,2.917,7.441348509782936
23,0.2328202724456787,455.0,46368.0,0.2476016342395491,0.00021848865648129096,29.08336391824362,832.353868658092,51.106805462343566,2588.1623691019495,11.907147844681006,136.289924263854,2.204023552651312,3.8856423718934487,0.913,0.46264446177587076,3.188,8.733087222148034
25,0.3307745456695557,543.0,50400.0,0.34911321223975145,0.00033630669157281434,30.321502931106195,899.443789089035,52.46587914378631,2718.0691314565747,12.942552005088052,159.05693068589645,2.700243213776179,5.6143817691389755,1.172,0.7076602650134624,3.767,11.807645372988468
27,0.4461290836334229,645.0,54432.0,0.4836973199593144,0.0014113723806380347,31.51103018311474,965.0280803205557,53.7203011540524,2838.1374097886096,13.977956165495096,183.110344173405,3.2841595859138817,8.054417131874274,1.476,1.0606341043777332,4.394,15.585684772293078
