n,t,edge,size,0.0024825704623534384*e*v^2,e*v^2 squared_error,17858.072245086943*sqrt(n),sqrt(n) squared_error,34578.596421753*log(n),log(n) squared_error,1468.7372147839947*n,n squared_error,2.802892190126649*vlog(e),vlog(e) squared_error,0.18877026938672692*n^3,n^3 squared_error,16.000000000000004*n^2,n^2 squared_error
22,0.013922452926635742,415.0,8052.0,498.64910306831166,57053109.77217874,83761.78349842118,5731971317.377808,154200.88621126383,21359496940.792942,32312.218725247883,588558212.596868,5187.212013357163,8207010.208413118,2010.026,36505449.816676,7744.0,94864.0
23,0.01960921287536621,455.0,8772.0,597.5422974361609,66821758.73100528,85644.3058185839,5909351401.865889,156418.42326729101,21799466303.624054,33780.955940031876,625447877.2104557,5768.970697574735,9018184.991224775,2296.768,41928629.453824,8464.0,94864.0
25,0.020133495330810547,543.0,10308.0,842.5223506611982,89595267.1301324,89290.36122543472,6238213384.745054,160578.02902687978,22581081623.739292,36718.43036959987,697510832.307483,7067.811937790243,10498818.67848662,2949.535,54147007.156225,10000.0,94864.0
27,0.02573537826538086,645.0,11972.0,1167.3170442508986,116741173.77425514,92793.26536117858,6532076934.582045,164417.33596814776,23239580458.441444,39655.90479916785,766398584.9293889,8596.196893860393,11396046.611421818,3715.565,68168718.90922499,11664.0,94864.0
29,0.03150153160095215,724.0,13764.0,1511.597433399611,150121368.6540358,96168.66217750766,6790528348.589162,167982.16425506232,23783242186.20138,42593.379228735845,831133106.7142658,9858.271421503374,15254715.728885276,4603.918,83907102.24672401,13456.0,94864.0
31,0.03760790824890137,828.0,15684.0,1975.4011774583298,187925681.67739084,99429.538235039,7013315174.276379,171309.1548110055,24219188809.949425,45530.85365830384,890834673.3002051,11497.672705498759,17525336.216686085,5623.655,101210541.51902503,15376.0,94864.0
33,0.05077958106994629,947.0,17732.0,2560.2327141272413,230182522.57667884,102586.81475830397,7200339587.66608,174428.0684455601,24553657866.29565,48468.32808787182,944721864.3252983,13389.531558373863,18857032.16651893,6783.837,119862273.07456902,17424.0,94864.0
35,0.05594539642333984,1077.0,19908.0,3275.3172752444502,276646134.6223816,105649.78017429124,7351652867.456483,177363.40737589163,24792205311.90799,51405.80251743981,992111563.4276378,15483.843011948413,19573165.05492569,8093.525,139581819.52562502,19600.0,94864.0
38,0.07062387466430664,1252.0,23412.0,4488.209348043233,358109852.6390863,110084.55061364558,7512131029.874955,181465.96753797948,24981056654.49667,55812.0141617918,1049760917.684309,18416.1375523108,24958641.596231125,10358.202,170401642.224804,23104.0,94864.0
41,0.08894634246826172,1497.0,27204.0,6247.281817982546,439184036.96050084,114347.45522634305,7593981788.785656,185256.62857624248,24980633399.85966,60218.22580614378,1089939105.57905,22479.911085896274,22317016.06835772,13010.236,201462936.487696,26896.0,94864.0
44,0.11436104774475098,1697.0,31284.0,8156.217136452287,534894340.18341124,118457.05023202613,7599140686.755351,188779.48263301683,24804827049.806904,64624.43745049577,1111584769.3904207,25967.83042415602,28261658.959129144,16080.207,231155321.586849,30976.0,94864.0
47,0.1473689079284668,1952.0,35652.0,10704.764391413231,622364564.5103396,122428.7751413245,7530208703.927994,192069.88619092945,24466555120.438557,69030.64909484774,1114134215.39698,30390.519565300478,27683176.364725877,19598.696,257708569.316416,35344.0,94864.0
51,0.1663036346435547,2326.0,41924.0,15019.367587024088,723859245.277354,127532.14481003594,7328754457.816084,196144.50663255656,23783964666.002422,74905.59795398373,1087785803.5982237,36981.5315011456,24427994.862168096,25040.565,285050377.39922506,41616.0,94864.0
55,0.20709490776062006,2656.0,48708.0,19945.964122732465,827254707.8052249,132439.00836645885,7010881762.064001,199911.30430295074,22862439232.130722,80780.54681311971,1028648259.0797554,43039.22633971655,32134994.811523404,31406.654,299336573.41171604,48400.0,94864.0
59,0.2571885585784912,3053.0,56004.0,26383.50021066793,877374007.7698212,137170.45569047998,6587993529.3546505,203413.53989711351,21729572452.6787,86655.49567225568,939514186.9463087,50339.128736876395,32090766.427763626,38769.449,297029748.171601,55696.0,94864.0
64,0.3406987190246582,3605.0,65844.0,36657.83405274786,851832282.7005405,142864.57796069555,5932169429.399581,207471.578530518,20058371000.41804,93999.18174617566,792714259.160183,60626.55807243942,27221700.267467096,49484.993,267617110.02604893,65536.0,94864.0
69,0.4115593433380127,4209.0,76484.0,49748.35114105321,714794919.9089029,148340.28905675418,5163326277.00781,211224.20192334027,18154922014.34251,101342.86782009563,617963309.2969863,72064.54289046279,19531601.143038977,62012.732,209417597.5278239,76176.0,94864.0
75,0.5365386009216309,5006.0,90308.0,69906.08100679489,416238298.60530335,154655.44226863098,4140593326.5147977,215383.80768292904,15643957667.53705,110155.2911087996,393914964.3574358,87398.28855009686,8466420.721697463,79637.457,113860487.9148491,90000.0,94864.0
81,0.6541368961334229,5830.0,105284.0,94959.88420441031,106587366.96074459,160722.6502057825,3073443936.6391077,219223.114624197,12982121841.345905,118967.71439750357,187244039.71244654,103598.6106278162,2840537.3358700895,100320.261,24638704.860121015,104976.0,94864.0
88,0.8688342571258545,6868.0,124212.0,132037.4762360738,61238078.32135569,167523.56699684236,1875891835.7219644,223358.07905476983,9829944991.934668,129248.87490099153,25370108.768238474,124345.76111812664,17892.036722488996,128641.653,19621825.70040905,123904.0,94864.0
MSE,,,,,264701864.95029277,,5662197656.501131,,20381718107.129097,,654228647.4207379,,13467722.576696686,,106127862.4833928,,94864.0
