n,t,edge,size,7.1327849368e-09*e*v^2,e*v^2 squared_error,0.04759911070689747*sqrt(n),sqrt(n) squared_error,0.0908667120739649*log(n),log(n) squared_error,0.003969167792523721*n,n squared_error,9.40866425938e-08*v(elog(v)),v(elog(v)) squared_error,5.336739339178e-07*n^3,n^3 squared_error,4.43270840029513e-05*n^2,n^2 squared_error
47,0.06750679016113281,1952.0,58840.0,0.030756340398363623,0.0013505955577658216,0.3263230622927402,0.06698586272010226,0.5047272258746472,0.1911617094055154,0.1865508862486149,0.01417149681328567,0.04794657184627651,0.00038260214052484004,0.055,0.0001564198001346085,0.098,0.0009298358462771868
51,0.0851585865020752,2326.0,67116.0,0.04315282104155468,0.0017644843319242585,0.33992564237559597,0.06490625275846165,0.5154346403099858,0.18513748248050796,0.20242755741870977,0.013752011539846485,0.06331063164255472,0.0004773331315436442,0.071,0.0002004655717367461,0.115,0.000890509959554129
55,0.10457968711853027,2656.0,75900.0,0.05730764729622592,0.0022346457489615286,0.353004452811592,0.06171486420965261,0.5253331484848655,0.17703347525175211,0.21830422858880466,0.012933271332624159,0.07946002975860376,0.00063099718588011,0.089,0.00024272665071129826,0.134,0.000865554810043574
59,0.12210488319396973,3053.0,85196.0,0.07580362198634744,0.0021438067894164687,0.36561570680861266,0.05929752121748175,0.5345364322002734,0.17009978261573905,0.23418089975889955,0.012561033489062425,0.09969635585962738,0.0005021420972939679,0.11,0.0001465281971396507,0.154,0.0010172984760703147
64,0.1493244171142578,3605.0,97536.0,0.10532327299958374,0.0019361006834003164,0.38079288565517977,0.053577651928679776,0.5452002724437894,0.15671769283288825,0.25402673872151815,0.010962576149950175,0.13024602107544922,0.0003639851954136274,0.14,8.694475452066375e-05,0.182,0.0010676937169230075
69,0.1821727752685547,4209.0,110672.0,0.1429342268549971,0.0015396636816031029,0.39538790885159375,0.04546069318883319,0.5550615330108348,0.13904602565058088,0.27387257768413675,0.00840885376305679,0.16691382319334874,0.0002328356184334318,0.175,5.144870505318993e-05,0.211,0.0008310088857172519
75,0.2440221309661865,5006.0,127492.0,0.200850307839117,0.0018638063121149723,0.41222039069721084,0.028290654576545126,0.5659922745102203,0.1036647733337657,0.29768758443927906,0.002879980896472663,0.22003196110491163,0.0005755282499728207,0.225,0.000361841466494751,0.249,2.4779180117799383e-05
81,0.2810208797454834,5830.0,145476.0,0.2728335174871102,6.703290074983371e-05,0.42839199636207725,0.021718246012821706,0.5760813248042428,0.08706066623827317,0.3215025911944214,0.0016387689618350804,0.2816829289192055,4.383091084261023e-07,0.284,8.87515749087091e-06,0.291,9.958284105410311e-05
88,0.36136460304260254,6868.0,167896.0,0.37936281602937794,0.00032393567071733055,0.4465192380264241,0.007251311859227891,0.5869473130521804,0.0508875590552653,0.34928676574208745,0.0001458741538577137,0.3673120999272181,3.53727191925116e-05,0.364,6.945317123059743e-06,0.343,0.00033725864491236543
MSE,,,,,0.0006307041192159195,,0.046242207453288636,,0.15063230265842756,,0.0073493120637390195,,0.000184118701813333,,8.020886941150609e-05,,0.00035092900351083066
